PMID,Title,Abstract,Authors,Journal,Publication Year,Keywords,DOI,Affiliations,MeSH Terms,Grant Support,Publication Types
39477378,"Molecular Hydrogen Therapy in Sjögren's Syndrome With Pulmonary Arterial Hypertension and Right-sided Heart Failure: A Case Report of Improved Immune Markers Including Treg, B Cells and Plasma Cell.","Connective tissue disease-associated pulmonary arterial hypertension (CTD-PAH) is a severe complication characterized by elevated pulmonary artery pressure, which can lead to right heart failure and death, if untreated. Standard treatments often fail to adequately manage symptoms, highlighting the need for novel therapeutic approaches. This study investigated the efficacy of molecular hydrogen (H","Yun-Ting Lin, Jeng-Wei Lu, Chun-Hsien Wu, Yi-Jung Ho, Shan-Wen Lui, Ting-Yu Hsieh, Feng-Cheng Liu","In vivo (Athens, Greece)",2024,B cell subsets; CD127 + Treg; Hydrogen therapy; anti-Ro antibody; case report; connective tissue disease-associated pulmonary arterial hypertension (CTD-PAH),10.21873/invivo.13797,"Department of Internal Medicine, Tri-Service General Hospital, National Defense Medical Center, Taipei, Taiwan, R.O.C.; Biotech Research and Innovation Centre, University of Copenhagen, Copenhagen, Denmark.; Division of Cardiology, Department of Internal Medicine, Tri-Service General Hospital, National Defense Medical Center, Taipei, Taiwan, R.O.C.; School of Pharmacy, National Defense Medical Center, Taipei, Taiwan, R.O.C.; School of Medicine, National Defense Medical Center, Taipei, Taiwan, R.O.C.; School of Medicine, National Defense Medical Center, Taipei, Taiwan, R.O.C.; Rheumatology/Immunology and Allergy, Department of Internal Medicine, Tri-Service General Hospital, National Defense Medical Center, Taipei, Taiwan, R.O.C. lfc10399@yahoo.com.tw.","Humans; Female; Middle Aged; Sjogren's Syndrome; Heart Failure; Hydrogen; Pulmonary Arterial Hypertension; T-Lymphocytes, Regulatory; B-Lymphocytes; Biomarkers; Treatment Outcome",N/A,Case Reports; Journal Article
39476869,Postoperative Antibiotics May Be Unnecessary in Pediatric Patients Hospitalized With Minor Odontogenic Infections.,"Antibiotic overuse is a growing concern in health care. For pediatric odontogenic infections, the necessity of postoperative antibiotics lacks clear, evidence-based guidelines.","Michael V Joachim, Murad AbdelRaziq, Waseem A Abboud, Shareef Araidy, Imad Abu El Naaj",Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,2024,N/A,10.1016/j.joms.2024.10.003,"Unit of Oral and Maxillofacial Surgery, Shamir Medical Center, Tzrifin, Israel; Faculty of Medicine, Goldschleger School of Dentistry, Tel Aviv University, Tel Aviv, Israel. Electronic address: michaeljo@tauex.tau.ac.il.; Department of Oral and Maxillofacial Surgery, The Baruch Padeh ""Tzafon"" Medical Center, Poriya, Israel.; Faculty of Medicine, Goldschleger School of Dentistry, Tel Aviv University, Tel Aviv, Israel; Unit of Oral and Maxillofacial Surgery, Bnai Zion Medical Center, Haifa, Israel; Institute of Movement Disorders, Department of Neurology, Sheba Tel-Hashomer Medical Center, Ramat-Gan, Israel.; Department of Oral and Maxillofacial Surgery, The Baruch Padeh ""Tzafon"" Medical Center, Poriya, Israel; Azrieli Faculty of Medicine, Bar-Ilan University, Safed, Israel.; Department of Oral and Maxillofacial Surgery, The Baruch Padeh ""Tzafon"" Medical Center, Poriya, Israel; Azrieli Faculty of Medicine, Bar-Ilan University, Safed, Israel.",N/A,N/A,Journal Article
39475877,Understanding the barriers and enablers to participation in vaccine trials in a pregnant population from diverse ethnic background in an inner-city UK hospital.,Vaccination during pregnancy is an important healthcare intervention for safeguarding the health of the mother and their infants. Ethnic disparities in recruitment to vaccine research studies during pregnancy potentially contribute to health inequalities. The aim of the current study was to explore the barriers and enablers influencing the willingness of pregnant women from ethnic minority backgrounds to participate in vaccine research studies.,"Essra Youssef, Anna Calvert, Vanessa Greening, Dominique Pearce, Suzannah Wright, Emma Eccleston, Lolade Oshodi, Paul Heath, Tushna Vandrevala",PloS one,2024,N/A,10.1371/journal.pone.0312799,"School of Nursing, Allied and Public Health, Faculty of Health, Science, Social Care and Education, Kingston University London, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; Women's Health Research, University College London Hospitals NHS Foundation Trust, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; Centre for Neonatal and Paediatric Infection and Vaccine Institute, St George's, University of London, London, United Kingdom.; School of Nursing, Allied and Public Health, Faculty of Health, Science, Social Care and Education, Kingston University London, London, United Kingdom.",Adult; Female; Humans; Pregnancy; Young Adult; Clinical Trials as Topic; Ethnicity; Pregnant Women; Trust; United Kingdom; Vaccination; Vaccines; Health Services Accessibility,N/A,Journal Article
39475070,Multi-Target Peptide Nanofiber Immunotherapy Diminishes Complement Anaphylatoxin Activity in Acute Inflammation.,"The anaphylatoxins C3a and C5a are products of the complement cascade that play important and interrelated roles in health and disease. Both are potential targets for anti-inflammatory active immunotherapies in which a patient's own immune system is stimulated to produce therapeutic immune responses against problematic self-molecules. However, the complex and time-dependent interrelations between the two molecules make dual targeting challenging. To investigate a dual-target active immunotherapy against C3a and C5a and to systematically study the effect of varied degrees of responses against both targets, the study employed self-assembled peptide immunogens capable of displaying a broad range of epitope compositions and Design-of-Experiments (DoE) approaches. Peptide nanofibers contained B-cell epitopes of C3a and C5a in defined quantities, and intranasal immunization raised systemic and mucosal immunity against each target. In a lipopolysaccharide-induced model of sepsis, increasing anti-C5a responses are protective, whereas increasing anti-C3a responses are detrimental, and survival rates are negatively correlated with anti-C3a/anti-C5a IgG titer ratio. This work highlights the interplay between the two molecules by making use of a modular, defined, and easily adjusted biomaterial-based active immunotherapy platform.","Helena Freire Haddad, Emily F Roe, Vinicius Xie Fu, Elizabeth J Curvino, Joel H Collier",Advanced healthcare materials,2024,immune engineering; immunoengineering; immunotherapy; self‐assembly; supramolecular,10.1002/adhm.202402546,"Department of Biomedical Engineering, Duke University, Durham, NC, 27708, USA.; Department of Biomedical Engineering, Duke University, Durham, NC, 27708, USA.; Department of Biomedical Engineering, Duke University, Durham, NC, 27708, USA.; Department of Biomedical Engineering, Duke University, Durham, NC, 27708, USA.; Department of Biomedical Engineering, Duke University, Durham, NC, 27708, USA.",N/A,DGE-1644868 (National Science Foundation); 1 R01 AI172151 (NIH HHS),Journal Article
39473604,"A scoping review of COVID-19 vaccine hesitancy: refusal rate, associated factors, and strategies to reduce.","This study aimed to investigate the evidence regarding vaccine hesitancy including refusal rate, associated factors, and potential strategies to reduce it.","Rona Bahreini, Mehran Sardareh, Morteza Arab-Zozani",Frontiers in public health,2024,COVID-19; refusal rate; scoping review; strategy; vaccine hesitancy,10.3389/fpubh.2024.1382849,"Iranian Center of Excellence in Health Management (IceHM), Tabriz University of Medical Sciences, Tabriz, Iran.; Student Research Committee, Tabriz University of Medical Sciences, Tabriz, Iran.; Social Determinants of Health Research Center, Birjand University of Medical Sciences, Birjand, Iran.","Humans; COVID-19; COVID-19 Vaccines; Health Knowledge, Attitudes, Practice; Patient Acceptance of Health Care; SARS-CoV-2; Vaccination; Vaccination Hesitancy",N/A,Journal Article; Review; Systematic Review
39472992,Financing immunisation in Kenya: examining bottlenecks in health sector planning and budgeting at the decentralised level.,"Decentralisation has increasingly been adopted by countries as an important health sector reform aimed at increasing community participation in decision making while enhancing swift response at decentralised levels, to accelerate the attainment of health system goals. Kenya adopted a devolved system of government where health services delivery became a function of the 47 semi-autonomous county governments with planning and budgeting functions practised at both levels of government. This study sought to explore challenges facing health sector planning and budgeting and how they affect immunisation service delivery at the county level.","Alex Olateju Adjagba, James Odhiambo Oguta, Catherine Akoth, Elvis Omondi Achach Wambiya, Justice Nonvignon, Debra Jackson",Cost effectiveness and resource allocation : C/E,2024,Budget credibility; County; Decentralisation; Devolution; GAVI transition; Health budgeting; Health planning; Health sector reform; Kenya; Primary care; Prioritisation; Public financial management,10.1186/s12962-024-00581-w,"University of Western Cape, Cape Town, South Africa. aadjagba@unicef.org.; Health Section, UNICEF, Eastern and Southern Africa Regional Office (ESARO), Nairobi, Kenya.; Health Section, UNICEF, Eastern and Southern Africa Regional Office (ESARO), Nairobi, Kenya.; Sheffield Centre for Health and Related Research (SCHARR), Division of Population Health, School of Medicine and Population Health, University of Sheffield, Sheffield, UK.; Africa Centre for Disease Control and Prevention, Addis Ababa, Ethiopia.; University of Western Cape, Cape Town, South Africa.",N/A,N/A,Journal Article
39472902,Molecular mechanisms and therapeutic significance of Tryptophan Metabolism and signaling in cancer.,"Tryptophan (Trp) metabolism involves three primary pathways: the kynurenine (Kyn) pathway (KP), the 5-hydroxytryptamine (serotonin, 5-HT) pathway, and the indole pathway. Under normal physiological conditions, Trp metabolism plays crucial roles in regulating inflammation, immunity, and neuronal function. Key rate-limiting enzymes such as indoleamine-2,3-dioxygenase (IDO), Trp-2,3-dioxygenase (TDO), and kynurenine monooxygenase (KMO) drive these metabolic processes. Imbalances in Trp metabolism are linked to various cancers and often correlate with poor prognosis and adverse clinical characteristics. Dysregulated Trp metabolism fosters tumor growth and immune evasion primarily by creating an immunosuppressive tumor microenvironment (TME). Activation of the KP results in the production of immunosuppressive metabolites like Kyn, which modulate immune responses and promote oncogenesis mainly through interaction with the aryl hydrocarbon receptor (AHR). Targeting Trp metabolism therapeutically has shown significant potential, especially with the development of small-molecule inhibitors for IDO1, TDO, and other key enzymes. These inhibitors disrupt the immunosuppressive signals within the TME, potentially restoring effective anti-tumor immune responses. Recently, IDO1 inhibitors have been tested in clinical trials, showing the potential to enhance the effects of existing cancer therapies. However, mixed results in later-stage trials underscore the need for a deeper understanding of Trp metabolism and its complex role in cancer. Recent advancements have also explored combining Trp metabolism inhibitors with other treatments, such as immune checkpoint inhibitors, chemotherapy, and radiotherapy, to enhance therapeutic efficacy and overcome resistance mechanisms. This review summarizes the current understanding of Trp metabolism and signaling in cancer, detailing the oncogenic mechanisms and clinical significance of dysregulated Trp metabolism. Additionally, it provides insights into the challenges in developing Trp-targeted therapies and future research directions aimed at optimizing these therapeutic strategies and improving patient outcomes.","Jing Yan, Di Chen, Zi Ye, Xuqiang Zhu, Xueyuan Li, Henan Jiao, Mengjiao Duan, Chaoli Zhang, Jingliang Cheng, Lixia Xu, Hongjiang Li, Dongming Yan",Molecular cancer,2024,Cancer; Clinical characteristics; Expression changes; Targeted therapies; Tryptophan metabolism,10.1186/s12943-024-02164-y,"Department of MRI, The First Affiliated Hospital of Zhengzhou University, Henan, Zhengzhou, China.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China.; Department of Scientific Research, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China.; Department of MRI, The First Affiliated Hospital of Zhengzhou University, Henan, Zhengzhou, China.; Department of MRI, The First Affiliated Hospital of Zhengzhou University, Henan, Zhengzhou, China.; Department of MRI, The First Affiliated Hospital of Zhengzhou University, Henan, Zhengzhou, China.; Department of Infectious Diseases, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China. mslixiaxu@163.com.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China. hongjianglineuron@163.com.; Department of Neurosurgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan, China. mrdmyan@163.com.","Humans; Tryptophan; Neoplasms; Signal Transduction; Animals; Tumor Microenvironment; Kynurenine; Indoleamine-Pyrrole 2,3,-Dioxygenase; Disease Susceptibility; Metabolic Networks and Pathways; Tryptophan Oxygenase; Molecular Targeted Therapy","YXKC2022061 (the Excellent Youth Talent Cultivation Program of Innovation in Health Science and Technology of Henan Province); 2024M752952 (the China Postdoctoral Science Foundation); LHGJ20230239 (the Henan Medical Science and Technology Joint Building Program); 82102149, 82472069, and 82401623 (China National Natural Science Foundation)",Journal Article; Review
39471978,[Compulsory Vaccination in Health Care - A Qualitative Study on Perceptions and Dynamics from the Perspective of Nurses].,"This exploratory study analyses the impact of mandatory COVID-19 vaccination on the perceptions of and dynamics in nursing teams. The 27 guided interviews with nurses revealed that the pressure to vaccinate and the introduction of mandatory vaccination in healthcare led to divisions and conflictual interactions between vaccinated and unvaccinated team members. These conflicts had a negative impact on the quality of work and team awareness, resulting in an increase in the number of nurses who resigned and thus placing even greater stress on the rest of the nursing teams.","Maya Stagge, Katharina Rädel-Ablass, Marion Roddewig, Melissa Henne, Patrick Fehling, Abdulillah Polat, Klaus Schliz",Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),2024,N/A,10.1055/a-2426-9524,"IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.; IPG - Innovationszentrum Pflege & Gerontologie, IU Internationale Hochschule GmbH, Erfurt, Germany.",N/A,N/A,English Abstract; Journal Article
39471905,Gut microbiota transfer from the preclinical maternal immune activation model of autism is sufficient to induce sex-specific alterations in immune response and behavioural outcomes.,"The gut microbiome plays a vital role in health and disease, including neurodevelopmental disorders like autism spectrum disorder (ASD). ASD affects 4:1 males-to-females, and sex differences are apparent in gut microbiota composition among ASD individuals and in animal models of this condition, such as the maternal immune activation (MIA) mouse model. However, few studies have included sex as a biological variable when assessing the role of gut microbiota in mediating ASD symptoms. Using the MIA model of ASD, we assessed whether gut microbiota contributes to the sex differences in the presentation of ASD-like behaviors. Gut microbiota transplantation from MIA or vehicle/control male and female mice into healthy, otherwise unmanipulated, 4-week-old C57Bl/6 mice was performed for 6 treatments over 12 days. Colonization with male, but not female, MIA microbiota was sufficient to reduce sociability, decrease microbiota diversity and increase neuroinflammation with more pronounced deficits in male recipients. Colonization with both male and female donor microbiota altered juvenile ultrasonic vocalizations and anxiety-like behavior in recipients of both sexes, and there was an accompanied change in the gut microbiota and serum cytokine IL-4 and IL-7 levels of all recipients of MIA gut microbiota. In addition to the increases in gut microbes associated with pathological states, the female donor microbiota profile also had increases in gut microbes with known neural protective effects (e.g., Lactobacillus and Rikenella). These results suggest that gut reactivity to environmental insults, such as in the MIA model, may play a role in shaping the sex disparity in ASD development.","Stephanie Salia, Francine F Burke, Meagan E Hinks, Alison M Randell, Mairead Anna Matheson, Susan G Walling, Ashlyn Swift-Gallant","Brain, behavior, and immunity",2024,Autism; Gut microbiota; Maternal immune activation; Sex differences,10.1016/j.bbi.2024.10.030,"Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada. Electronic address: ssalia@mun.ca.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada.; Department of Psychology, Memorial University of Newfoundland, 232 Elizabeth Avenue, St. John's, NL A1B 3X9, Canada. Electronic address: aswiftgallant@mun.ca.",N/A,N/A,Journal Article
39468631,Molecular characterisation of human rabies in Tanzania and Kenya: a case series report and phylogenetic investigation.,"Rabies remains a major public health problem in low- and middle-income countries. However, human rabies deaths are rarely laboratory-confirmed or sequenced, especially in Africa. Five human rabies deaths from Tanzania and Kenya were investigated and the causative rabies viruses sequenced, with the aim of identifying implications for rabies control at individual, healthcare and societal levels.","Gurdeep Jaswant, Kathryn Campbell, Anna Czupryna, Athman Mwatondo, Brian Ogoti, Carmen W E Embregts, Corine H GeurtsvanKessel, Charles Kayuki, Davis Kuchaka, Gati Wambura, James Oigo, Joel Changalucha, Julius O Oyugi, Kennedy Lushasi, Lwitiko Sikana, Marco van Zwetselaar, Marieke C J Dekker, Mathew Muturi, Marybeth Maritim, Mumbua Mutunga, Rowan Durrant, Tom Abala, Veronicah Chuchu, Kirstyn Brunker, S M Thumbi, Katie Hampson",Infectious diseases of poverty,2024,Lyssavirus; East Africa; Genomic surveillance; Nanopore; Next-generation sequencing; One Health; Whole genome sequencing,10.1186/s40249-024-01245-w,"Faculty of Health Sciences, Institute of Tropical & Infectious Diseases, University of Nairobi, Nairobi, 00202, Kenya. gurdeepjaswant14@gmail.com.; School of Biodiversity, One Health & Veterinary Medicine, College of Medical, Veterinary & Life Sciences, University of Glasgow, Glasgow, G12 8QQ, UK.; School of Biodiversity, One Health & Veterinary Medicine, College of Medical, Veterinary & Life Sciences, University of Glasgow, Glasgow, G12 8QQ, UK.; Zoonotic Disease Unit, Ministry of Health and Ministry of Livestock, Nairobi, 00202, Kenya.; Faculty of Health Sciences, Institute of Tropical & Infectious Diseases, University of Nairobi, Nairobi, 00202, Kenya.; Viroscience Department, Erasmus MC Rotterdam, Rotterdam, 3015 CN, the Netherlands.; Viroscience Department, Erasmus MC Rotterdam, Rotterdam, 3015 CN, the Netherlands.; Oxford Nanopore Technologies, Gosling Building, Edmund Halley Road, Oxford Science Park, Oxford, OX4 4DQ, UK.; Biotechnology Laboratory, Kilimanjaro Clinical Research Institute, P. O. Box 2236, Moshi, Tanzania.; Center for Global Health Research, Kenya Medical Research Institute, Kisumu, 40100, Kenya.; Center for Global Health Research, Kenya Medical Research Institute, Kisumu, 40100, Kenya.; Environmental Health & Ecological Sciences, Ifakara Health Institute, Plot 463, Dar Es Salaam, Tanzania.; Faculty of Health Sciences, Institute of Tropical & Infectious Diseases, University of Nairobi, Nairobi, 00202, Kenya.; Environmental Health & Ecological Sciences, Ifakara Health Institute, Plot 463, Dar Es Salaam, Tanzania.; Environmental Health & Ecological Sciences, Ifakara Health Institute, Plot 463, Dar Es Salaam, Tanzania.; Biotechnology Laboratory, Kilimanjaro Clinical Research Institute, P. O. Box 2236, Moshi, Tanzania.; Biotechnology Laboratory, Kilimanjaro Clinical Research Institute, P. O. Box 2236, Moshi, Tanzania.; Zoonotic Disease Unit, Ministry of Health and Ministry of Livestock, Nairobi, 00202, Kenya.; Department of Clinical Medicine and Therapeutics, University of Nairobi, Nairobi, 00202, Kenya.; Faculty of Health Sciences, Institute of Tropical & Infectious Diseases, University of Nairobi, Nairobi, 00202, Kenya.; School of Biodiversity, One Health & Veterinary Medicine, College of Medical, Veterinary & Life Sciences, University of Glasgow, Glasgow, G12 8QQ, UK.; Center for Global Health Research, Kenya Medical Research Institute, Kisumu, 40100, Kenya.; Center for Epidemiological Modelling & Analysis, University of Nairobi, Nairobi, 00202, Kenya.; School of Biodiversity, One Health & Veterinary Medicine, College of Medical, Veterinary & Life Sciences, University of Glasgow, Glasgow, G12 8QQ, UK.; Faculty of Health Sciences, Institute of Tropical & Infectious Diseases, University of Nairobi, Nairobi, 00202, Kenya.; School of Biodiversity, One Health & Veterinary Medicine, College of Medical, Veterinary & Life Sciences, University of Glasgow, Glasgow, G12 8QQ, UK.",Rabies; Tanzania; Humans; Animals; Phylogeny; Male; Kenya; Dogs; Rabies virus; Female; Adult; Bites and Stings; Dog Diseases; Rabies Vaccines; Middle Aged; Post-Exposure Prophylaxis,"204820 (Wellcome Trust); 224670/Z/21/Z (Wellcome Trust); 207569/Z/17/Z (Wellcome Trust); 176382 (National Institute for Health and Care Research, Global Health Research Group on the Application of Genomics and Modelling to the Control of Virus Pathogens (GeMVi) in East Africa at the University of Warwickellowship); 110330 (Wellcome Trust); MR/X002047/1 (Medical Research Council)",Journal Article; Case Reports
39468472,"Implementing a prenatal health screening intervention for future fathers in Montreuil, France: most users are immigrants facing hardship.","Prenatal care provides pregnant women with repeated opportunities for prevention, screening and diagnosis that have no current extension to future fathers. It also contributes to women's general better access to health. The goal of PARTAGE study was to evaluate the level and determinants of adherence to a prenatal prevention consultation dedicated to men.","Pauline Penot, Gaëlle Jacob, Audrey Guerizec, Clotilde Trevisson, Valérie-Anne Letembet, Raya Harich, Thomas Phuong, Bruno Renevier, Pierre-Etienne Manuellan, Annabel Desgrées du Loû",BMC public health,2024,Gender inequalities; HIV; Health insurance coverage; Migrants health; Prenatal health; Sexually transmitted infections; Social inequalities in health; Vaccination,10.1186/s12889-024-20388-x,"CeGIDD (Sexual Health and Infectious Disease Clinic), Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France. pauline.penot@ght-gpne.fr.; CeGIDD (Sexual Health and Infectious Disease Clinic), Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France.; CeGIDD (Sexual Health and Infectious Disease Clinic), Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France.; CeGIDD (Sexual Health and Infectious Disease Clinic), Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France.; CeGIDD (Sexual Health and Infectious Disease Clinic), Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France.; Medical Biology Laboratory, Centre Hospitalier Intercommunal André Grégoire, GHT Grand Paris Nord-Est, 56 boulevard de La Boissière, Montreuil, France.; IT Support, Centre Hospitalier Intercommunal André Grégoire, GHT Grand Paris Nord-Est, 56 boulevard de La Boissière, Montreuil, France.; Maternity unit, Centre Hospitalier André Grégoire, 56 boulevard de La Boissière, Montreuil, 93100, France.; Health Department, Montreuil Municipality, France.; Centre Population et Développement (Ceped), Institut de Recherche Pour Le Développement (IRD), Université de Paris cité, Inserm ERL 1244, 45 Rue Des Saints-Pères, Paris, 75006, France.",Adult; Female; Humans; Male; Pregnancy; Young Adult; Emigrants and Immigrants; Fathers; France; Mass Screening; Patient Acceptance of Health Care; Prenatal Care,N/A,Clinical Trial; Journal Article
39467275,"A New Natural Language Processing-Inspired Methodology (Detection, Initial Characterization, and Semantic Characterization) to Investigate Temporal Shifts (Drifts) in Health Care Data: Quantitative Study.","Proper analysis and interpretation of health care data can significantly improve patient outcomes by enhancing services and revealing the impacts of new technologies and treatments. Understanding the substantial impact of temporal shifts in these data is crucial. For example, COVID-19 vaccination initially lowered the mean age of at-risk patients and later changed the characteristics of those who died. This highlights the importance of understanding these shifts for assessing factors that affect patient outcomes.","Bruno Paiva, Marcos André Gonçalves, Leonardo Chaves Dutra da Rocha, Milena Soriano Marcolino, Fernanda Cristina Barbosa Lana, Maira Viana Rego Souza-Silva, Jussara M Almeida, Polianna Delfino Pereira, Claudio Moisés Valiense de Andrade, Angélica Gomides Dos Reis Gomes, Maria Angélica Pires Ferreira, Frederico Bartolazzi, Manuela Furtado Sacioto, Ana Paula Boscato, Milton Henriques Guimarães-Júnior, Priscilla Pereira Dos Reis, Felício Roberto Costa, Alzira de Oliveira Jorge, Laryssa Reis Coelho, Marcelo Carneiro, Thaís Lorenna Souza Sales, Silvia Ferreira Araújo, Daniel Vitório Silveira, Karen Brasil Ruschel, Fernanda Caldeira Veloso Santos, Evelin Paola de Almeida Cenci, Luanna Silva Monteiro Menezes, Fernando Anschau, Maria Aparecida Camargos Bicalho, Euler Roberto Fernandes Manenti, Renan Goulart Finger, Daniela Ponce, Filipe Carrilho de Aguiar, Luiza Margoto Marques, Luís César de Castro, Giovanna Grünewald Vietta, Mariana Frizzo de Godoy, Mariana do Nascimento Vilaça, Vivian Costa Morais",JMIR medical informatics,2024,data drifts; health care; machine learning; temporal drifts,10.2196/54246,"Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Computer Science Department, Universidade Federal de São João del-Rei, Brazil, São João del-Rei, Brazil.; Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Hospitais da Rede Mater Dei, Belo Horizonte, Brazil.; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil.; Hospital Santo Antônio, Curvelo, Brazil.; Faculdade Ciências Médicas de Minas Gerais, Belo Horizonte, Brazil.; Hospital Tacchini, Bento Gonçalves, Brazil.; Hospital Márcio Cunha, Ipatinga, Brazil.; Hospital Metropolitano Doutor Célio de Castro, Belo Horizonte, Brazil.; Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Hospital Risoleta Tolentino Neves, Belo Horizonte, Brazil.; Faculdade de Medicina, Universidade Federal dos Vales do Jequitinhonha e Mucuri, Teófilo Otoni, Brazil.; Hospital Santa Cruz, Santa Cruz do Sul, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Hospital Semper, Belo Horizonte, Brazil.; Hospital Unimed BH, Belo Horizonte, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Hospital Universitário de Santa Maria, Santa Maria, Brazil.; Hospital Moinhos de Vento, Porto Alegre, Brazil.; Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Belo Horizonte, Brazil.; Hospital Nossa Senhora da Conceição, Porto Alegre, Brazil.; Fundação Hospitalar do Estado de Minas Gerais, Belo Horizonte, Brazil.; Hospital Mãe de Deus, Porto Alegre, Brazil.; Hospital Regional do Oeste, Chapecó, Brazil.; Faculdade de Medicina de Botucatu, Universidade Estadual Paulista Júlio de Mesquita Filho, Botucatu, Brazil.; Hospital das Clínicas, Universidade Federal de Pernambuco, Recife, Brazil.; Faculdade Ciências Médicas de Minas Gerais, Belo Horizonte, Brazil.; Hospital Bruno Born, Lajeado, Brazil.; Hospital SOS Cárdio, Florianópolis, Brazil.; Hospital Santo Antônio, Curvelo, Brazil.; Hospital Metropolitano Odilon Behrens, Belo Horizonte, Brazil.; Faculdade Ciências Médicas de Minas Gerais, Belo Horizonte, Brazil.",Natural Language Processing; Humans; Semantics; COVID-19; SARS-CoV-2; Delivery of Health Care; Time Factors,N/A,Journal Article
